screen_id,phase,screen_name,figma_source_section_id,figma_source_node_id,source_node_name,classification,runtime_route_or_surface,module_owner,bottom_nav,safe_area_policy,status
P2-14,P2,Notification Preferences,442:2,442:1486,NativeEditable/P2-14 P2-14 Notification Preferences,DESIGN_ONLY_PHASE2,proposed:/notifications/preferences,notifications,no,system-insets,LOCKED
P2-15,P2,Privacy Defaults,442:2,442:1527,NativeEditable/P2-15 P2-15 Privacy Defaults,DESIGN_ONLY_PHASE2,/profile/privacy,profile,no,system-insets,LOCKED
P2-16,P2,Profile Controls,442:2,442:1567,NativeEditable/P2-16 P2-16 Profile Controls,DESIGN_ONLY_PHASE2,/profile/controls,profile,no,system-insets,LOCKED
ST-01,STATE,Offline Full Screen,442:2,442:1633,NativeEditable/ST-01 ST-01 Offline Full Screen,STATE_REFERENCE,N/A,cross-module,contextual,system-insets,LOCKED
ST-02,STATE,Network Error Retry,442:2,442:1664,NativeEditable/ST-02 ST-02 Network Error Retry,STATE_REFERENCE,N/A,cross-module,contextual,system-insets,LOCKED
ST-03,STATE,Loading Skeleton,442:2,442:1707,NativeEditable/ST-03 ST-03 Loading Skeleton,STATE_REFERENCE,N/A,cross-module,contextual,system-insets,LOCKED
ST-04,STATE,Empty First Pet,442:2,442:1758,NativeEditable/ST-04 ST-04 Empty First Pet,STATE_REFERENCE,/pets/list,pets,yes,shell-insets,LOCKED
ST-05,STATE,Empty Nearby Rescue,442:2,442:1793,NativeEditable/ST-05 ST-05 Empty Nearby Rescue,STATE_REFERENCE,/rescue,rescue,yes,shell-insets,LOCKED
ST-06,STATE,Vet Search No Results,442:2,442:1839,NativeEditable/ST-06 ST-06 Vet Search No Results,STATE_REFERENCE,/vets/list,vets,yes,shell-insets,LOCKED
ST-07,STATE,Login Success,442:2,442:1882,NativeEditable/ST-07 ST-07 Login Success,STATE_REFERENCE,/auth/login,auth,no,system-insets,LOCKED
ST-08,STATE,Login Failure,442:2,442:1892,NativeEditable/ST-08 ST-08 Login Failure,STATE_REFERENCE,/auth/login,auth,no,system-insets,LOCKED
ST-09,STATE,Register Success,442:2,442:1918,NativeEditable/ST-09 ST-09 Register Success,STATE_REFERENCE,/auth/register,auth,no,system-insets,LOCKED
ST-10,STATE,Register Failure,442:2,442:1936,NativeEditable/ST-10 ST-10 Register Failure,STATE_REFERENCE,/auth/register,auth,no,system-insets,LOCKED
ST-11,STATE,Save Update Success,442:2,442:1969,NativeEditable/ST-11 ST-11 Save Update Success,STATE_REFERENCE,N/A,cross-module,no,system-insets,LOCKED
ST-12,STATE,Save Update Failure,442:2,442:2015,NativeEditable/ST-12 ST-12 Save Update Failure,STATE_REFERENCE,N/A,cross-module,no,system-insets,LOCKED
ST-13,STATE,Lost Alert Submit Failure,442:2,442:2054,NativeEditable/ST-13 ST-13 Lost Alert Submit Failure,STATE_REFERENCE,/rescue/drafts/:draftId/details,rescue,no,system-insets-and-ime,LOCKED
ST-14,STATE,Adoption Request Submitted,442:2,442:2092,NativeEditable/ST-14 ST-14 Adoption Request Submitted,STATE_REFERENCE,proposed:/adoption/requests/new,adoption,no,system-insets,LOCKED
ST-15,STATE,Location Permission Needed,442:2,442:2117,NativeEditable/ST-15 ST-15 Location Permission Needed,STATE_REFERENCE,/vets/map | /rescue/map,cross-module,contextual,map-edge-to-edge-with-safe-controls,LOCKED
ST-16,STATE,Media Upload Failure,442:2,442:2150,NativeEditable/ST-16 ST-16 Media Upload Failure,STATE_REFERENCE,N/A,cross-module,no,system-insets,LOCKED
ST-17,STATE,OTP Expired,442:2,442:2194,NativeEditable/ST-17 ST-17 OTP Expired,STATE_REFERENCE,/auth/otp,auth,no,system-insets,LOCKED
ST-18,STATE,Comment Send Failure,442:2,442:2223,NativeEditable/ST-18 ST-18 Comment Send Failure,STATE_REFERENCE,/rescue/cases/:caseId/comment,rescue,no,system-insets-and-ime,LOCKED
ST-19,STATE,Adoption Request Failure,442:2,442:2269,NativeEditable/ST-19 ST-19 Adoption Request Failure,STATE_REFERENCE,proposed:/adoption/requests/new,adoption,no,system-insets-and-ime,LOCKED
ST-20,STATE,Empty My Adoption Requests,442:2,442:2302,NativeEditable/ST-20 ST-20 Empty My Adoption Requests,STATE_REFERENCE,proposed:/adoption/requests,adoption,no,system-insets,LOCKED
ST-21,STATE,Chat Send Failure,442:2,442:2334,NativeEditable/ST-21 ST-21 Chat Send Failure,STATE_REFERENCE,proposed:/adoption/requests/:id/chat,adoption,no,system-insets-and-ime,LOCKED
ST-22,STATE,Status Update Success,442:2,442:2356,NativeEditable/ST-22 ST-22 Status Update Success,STATE_REFERENCE,/rescue/cases/:caseId/status,rescue,no,system-insets,LOCKED
ST-23,STATE,Map Service Unavailable,442:2,442:2393,NativeEditable/ST-23 ST-23 Map Service Unavailable,STATE_REFERENCE,/vets/map | /rescue/map,cross-module,contextual,map-edge-to-edge-with-safe-controls,LOCKED
ST-24,STATE,Empty Notifications,442:2,442:2455,NativeEditable/ST-24 ST-24 Empty Notifications,STATE_REFERENCE,/notifications,notifications,no,system-insets,LOCKED
