"proof_id","kind","screen_id","state","proof_viewport","runtime_reference_viewport","source_v031_frame_id","target_v032_section_id","target_v032_frame_id","safe_area_policy","expected_evidence","status","approval"
"W3-CAN-P1-15-390x844","canonical_screen","P1-15","RUNTIME_PHASE1","390x844","390x844","453:8236","453:10333","462:824","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P1-16-390x844","canonical_screen","P1-16","RUNTIME_PHASE1","390x844","390x844","453:8308","453:10333","462:893","shell-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P2-01-390x844","canonical_screen","P2-01","STAGED_PHASE2_FLAG_OFF","390x844","390x844","453:8384","453:10333","462:966","shell-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P2-02-390x844","canonical_screen","P2-02","DESIGN_ONLY_PHASE2","390x844","390x844","453:8449","453:10333","462:1028","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P2-03-390x844","canonical_screen","P2-03","DESIGN_ONLY_PHASE2","390x844","390x844","453:8498","453:10333","462:1074","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P2-04-390x844","canonical_screen","P2-04","DESIGN_ONLY_PHASE2","390x844","390x844","453:8536","453:10333","462:1109","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P2-05-390x844","canonical_screen","P2-05","DESIGN_ONLY_PHASE2","390x844","390x844","453:8572","453:10333","462:1142","map-edge-to-edge-with-safe-controls","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P2-06-390x844","canonical_screen","P2-06","DESIGN_ONLY_PHASE2","390x844","390x844","453:8638","453:10333","462:1205","system-insets-and-ime","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P2-07-390x844","canonical_screen","P2-07","DESIGN_ONLY_PHASE2","390x844","390x844","453:8687","453:10333","462:1251","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P2-08-390x844","canonical_screen","P2-08","DESIGN_ONLY_PHASE2","390x844","390x844","453:8740","453:10333","462:1301","system-insets-and-ime","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P2-09-390x844","canonical_screen","P2-09","DESIGN_ONLY_PHASE2","390x844","390x844","453:8824","453:10333","462:1382","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P2-10-390x844","canonical_screen","P2-10","DESIGN_ONLY_PHASE2","390x844","390x844","453:8889","453:10333","462:1444","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P2-11-390x844","canonical_screen","P2-11","DESIGN_ONLY_PHASE2","390x844","390x844","453:8941","453:10333","462:1493","system-insets-and-ime","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P2-12-390x844","canonical_screen","P2-12","DESIGN_ONLY_PHASE2","390x844","390x844","453:8983","453:10333","462:1532","system-insets-and-ime","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P2-13-390x844","canonical_screen","P2-13","DESIGN_ONLY_PHASE2","390x844","390x844","453:9029","453:10333","462:1575","shell-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P2-14-390x844","canonical_screen","P2-14","DESIGN_ONLY_PHASE2","390x844","390x844","453:9121","453:10333","462:1664","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P2-15-390x844","canonical_screen","P2-15","DESIGN_ONLY_PHASE2","390x844","390x844","453:9164","453:10333","462:1704","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P2-16-390x844","canonical_screen","P2-16","DESIGN_ONLY_PHASE2","390x844","390x844","453:9207","453:10333","462:1744","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-01-390x844","canonical_screen","ST-01","STATE_REFERENCE","390x844","390x844","453:9289","453:10333","462:1823","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-02-390x844","canonical_screen","ST-02","STATE_REFERENCE","390x844","390x844","453:9330","453:10333","462:1861","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-03-390x844","canonical_screen","ST-03","STATE_REFERENCE","390x844","390x844","453:9382","453:10333","462:1910","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-04-390x844","canonical_screen","ST-04","STATE_REFERENCE","390x844","390x844","453:9442","453:10333","462:1967","shell-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-05-390x844","canonical_screen","ST-05","STATE_REFERENCE","390x844","390x844","453:9487","453:10333","462:2009","shell-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-06-390x844","canonical_screen","ST-06","STATE_REFERENCE","390x844","390x844","453:9543","453:10333","462:2062","shell-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-07-390x844","canonical_screen","ST-07","STATE_REFERENCE","390x844","390x844","453:9598","453:10333","462:2114","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-08-390x844","canonical_screen","ST-08","STATE_REFERENCE","390x844","390x844","453:9608","453:10333","462:2121","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-09-390x844","canonical_screen","ST-09","STATE_REFERENCE","390x844","390x844","453:9638","453:10333","462:2148","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-10-390x844","canonical_screen","ST-10","STATE_REFERENCE","390x844","390x844","453:9661","453:10333","462:2168","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-11-390x844","canonical_screen","ST-11","STATE_REFERENCE","390x844","390x844","453:9699","453:10333","462:2203","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-12-390x844","canonical_screen","ST-12","STATE_REFERENCE","390x844","390x844","453:9758","453:10333","462:2259","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-13-390x844","canonical_screen","ST-13","STATE_REFERENCE","390x844","390x844","453:9808","453:10333","462:2306","system-insets-and-ime","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-14-390x844","canonical_screen","ST-14","STATE_REFERENCE","390x844","390x844","453:9851","453:10333","462:2346","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-15-390x844","canonical_screen","ST-15","STATE_REFERENCE","390x844","390x844","453:9879","453:10333","462:2371","map-edge-to-edge-with-safe-controls","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-16-390x844","canonical_screen","ST-16","STATE_REFERENCE","390x844","390x844","453:9923","453:10333","462:2412","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-17-390x844","canonical_screen","ST-17","STATE_REFERENCE","390x844","390x844","453:9978","453:10333","462:2464","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-18-390x844","canonical_screen","ST-18","STATE_REFERENCE","390x844","390x844","453:10009","453:10333","462:2492","system-insets-and-ime","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-19-390x844","canonical_screen","ST-19","STATE_REFERENCE","390x844","390x844","453:10064","453:10333","462:2544","system-insets-and-ime","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-20-390x844","canonical_screen","ST-20","STATE_REFERENCE","390x844","390x844","453:10104","453:10333","462:2581","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-21-390x844","canonical_screen","ST-21","STATE_REFERENCE","390x844","390x844","453:10141","453:10333","462:2615","system-insets-and-ime","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-22-390x844","canonical_screen","ST-22","STATE_REFERENCE","390x844","390x844","453:10165","453:10333","462:2636","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-23-390x844","canonical_screen","ST-23","STATE_REFERENCE","390x844","390x844","453:10211","453:10333","462:2679","map-edge-to-edge-with-safe-controls","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-ST-24-390x844","canonical_screen","ST-24","STATE_REFERENCE","390x844","390x844","453:10288","453:10333","462:2753","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P1-01-360x800","responsive_extra","P1-01","RUNTIME_PHASE1","360x800","N/A","453:7378","453:10333","462:2796","system-insets","Figma v0.32 responsive frame at 360x800; metadata, screenshot, and overflow check","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P1-01-412x915","responsive_extra","P1-01","RUNTIME_PHASE1","412x915","N/A","453:7378","453:10333","462:2813","system-insets","Figma v0.32 responsive frame at 412x915; metadata, screenshot, and overflow check","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P1-01-430x932","responsive_extra","P1-01","RUNTIME_PHASE1","430x932","N/A","453:7378","453:10333","462:2830","system-insets","Figma v0.32 responsive frame at 430x932; metadata, screenshot, and overflow check","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P1-07-360x800","responsive_extra","P1-07","RUNTIME_PHASE1","360x800","N/A","453:7594","453:10333","453:10340","shell-insets","Figma v0.32 responsive frame at 360x800; metadata, screenshot, and overflow check","EXECUTED_EXISTING_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P1-07-412x915","responsive_extra","P1-07","RUNTIME_PHASE1","412x915","N/A","453:7594","453:10333","453:10426","shell-insets","Figma v0.32 responsive frame at 412x915; metadata, screenshot, and overflow check","EXECUTED_EXISTING_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P1-07-430x932","responsive_extra","P1-07","RUNTIME_PHASE1","430x932","N/A","453:7594","453:10333","453:10513","shell-insets","Figma v0.32 responsive frame at 430x932; metadata, screenshot, and overflow check","EXECUTED_EXISTING_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P1-08-360x800","responsive_extra","P1-08","RUNTIME_PHASE1","360x800","N/A","453:7685","453:10333","453:10600","map-edge-to-edge-with-safe-controls","Figma v0.32 responsive frame at 360x800; metadata, screenshot, and overflow check","EXECUTED_EXISTING_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P1-08-412x915","responsive_extra","P1-08","RUNTIME_PHASE1","412x915","N/A","453:7685","453:10333","453:10699","map-edge-to-edge-with-safe-controls","Figma v0.32 responsive frame at 412x915; metadata, screenshot, and overflow check","EXECUTED_EXISTING_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P1-08-430x932","responsive_extra","P1-08","RUNTIME_PHASE1","430x932","N/A","453:7685","453:10333","453:10797","map-edge-to-edge-with-safe-controls","Figma v0.32 responsive frame at 430x932; metadata, screenshot, and overflow check","EXECUTED_EXISTING_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P1-12-360x800","responsive_extra","P1-12","RUNTIME_PHASE1","360x800","N/A","453:7975","453:10333","453:10895","shell-insets","Figma v0.32 responsive frame at 360x800; metadata, screenshot, and overflow check","EXECUTED_EXISTING_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P1-12-412x915","responsive_extra","P1-12","RUNTIME_PHASE1","412x915","N/A","453:7975","453:10333","453:10979","shell-insets","Figma v0.32 responsive frame at 412x915; metadata, screenshot, and overflow check","EXECUTED_EXISTING_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P1-12-430x932","responsive_extra","P1-12","RUNTIME_PHASE1","430x932","N/A","453:7975","453:10333","453:11065","shell-insets","Figma v0.32 responsive frame at 430x932; metadata, screenshot, and overflow check","EXECUTED_EXISTING_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P1-16-360x800","responsive_extra","P1-16","RUNTIME_PHASE1","360x800","N/A","453:8308","453:10333","453:11153","shell-insets","Figma v0.32 responsive frame at 360x800; metadata, screenshot, and overflow check","EXECUTED_EXISTING_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P1-16-412x915","responsive_extra","P1-16","RUNTIME_PHASE1","412x915","N/A","453:8308","453:10333","453:11218","shell-insets","Figma v0.32 responsive frame at 412x915; metadata, screenshot, and overflow check","EXECUTED_EXISTING_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P1-16-430x932","responsive_extra","P1-16","RUNTIME_PHASE1","430x932","N/A","453:8308","453:10333","453:11294","shell-insets","Figma v0.32 responsive frame at 430x932; metadata, screenshot, and overflow check","EXECUTED_EXISTING_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P2-01-360x800","responsive_extra","P2-01","STAGED_PHASE2_FLAG_OFF","360x800","N/A","453:8384","453:10333","453:11369","shell-insets","Figma v0.32 responsive frame at 360x800; metadata, screenshot, and overflow check","EXECUTED_EXISTING_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P2-01-412x915","responsive_extra","P2-01","STAGED_PHASE2_FLAG_OFF","412x915","N/A","453:8384","453:10333","453:11425","shell-insets","Figma v0.32 responsive frame at 412x915; metadata, screenshot, and overflow check","EXECUTED_EXISTING_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P2-01-430x932","responsive_extra","P2-01","STAGED_PHASE2_FLAG_OFF","430x932","N/A","453:8384","453:10333","453:11496","shell-insets","Figma v0.32 responsive frame at 430x932; metadata, screenshot, and overflow check","EXECUTED_EXISTING_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P2-12-360x800","responsive_extra","P2-12","DESIGN_ONLY_PHASE2","360x800","N/A","453:8983","453:10333","462:2847","system-insets-and-ime","Figma v0.32 responsive frame at 360x800; metadata, screenshot, and overflow check","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P2-12-412x915","responsive_extra","P2-12","DESIGN_ONLY_PHASE2","412x915","N/A","453:8983","453:10333","462:2890","system-insets-and-ime","Figma v0.32 responsive frame at 412x915; metadata, screenshot, and overflow check","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-RESP-P2-12-430x932","responsive_extra","P2-12","DESIGN_ONLY_PHASE2","430x932","N/A","453:8983","453:10333","462:2933","system-insets-and-ime","Figma v0.32 responsive frame at 430x932; metadata, screenshot, and overflow check","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
