route_id,record_type,path,current_state,target_navigator,target_branch,auth_policy,feature_flag,deep_link_policy,return_to_policy,expected_result,status,source_ref,owner,notes
RT-021,ROUTE,/profile/privacy,LIVE_PLACEHOLDER,SHELL,PROFILE,AUTH_REQUIRED,N/A,OPEN,RESTORE_BRANCH,Privacy defaults remains fail-closed and never pretends to persist settings,PLANNED,mobile/lib/app/router/app_router.dart:177,profile,Phase 2 placeholder
RT-022,ROUTE,/profile,LIVE_FLAT_ROUTE,SHELL,PROFILE,AUTH_REQUIRED,N/A,OPEN,RESTORE_BRANCH,Profile is the PROFILE branch root and retains account and pet summary state,PLANNED,mobile/lib/app/router/app_router.dart:186,profile,Target StatefulShellRoute indexedStack root
RT-023,ROUTE,/rescue,LIVE_STAGED_FLAG_OFF,SHELL,RESCUE,AUTH_REQUIRED,PAWMATE_RESCUE_BROWSE_ENABLED=false,OPEN_TO_STAGED_WHEN_OFF,RESTORE_BRANCH,Rescue root always exists; when browse is off it shows an honest staged state and makes zero Rescue API calls,PLANNED,mobile/lib/app/router/app_router.dart:190; docs/design/pawmate-v031-platform-ui/contracts/RESCUE_FINAL_CONTRACT.md:43,rescue,Target StatefulShellRoute indexedStack root
RT-024,ROUTE,/rescue/create,FUTURE_ABSENT,ROOT,NONE,AUTH_REQUIRED,PAWMATE_RESCUE_CREATE_ENABLED=false,FEATURE_UNAVAILABLE_WHEN_OFF,RESTORE_RESCUE_BRANCH,Create Lost Alert is unavailable before Day 40 and cannot be reached through a generic 404,PLANNED,docs/design/pawmate-v031-platform-ui/contracts/RESCUE_FINAL_CONTRACT.md:67,rescue,Canonical route; inventory /rescue/drafts/new is a historical design alias
RT-025,ROUTE,/rescue/create/details,FUTURE_ABSENT,ROOT,NONE,AUTH_REQUIRED,PAWMATE_RESCUE_CREATE_ENABLED=false,FEATURE_UNAVAILABLE_WHEN_OFF,PRESERVE_DRAFT,Lost Info Form is unavailable before Day 40 and preserves a testable draft only after create is enabled,PLANNED,docs/design/pawmate-v031-platform-ui/contracts/RESCUE_FINAL_CONTRACT.md:68,rescue,Canonical route; inventory draftId route is a historical design alias
RT-026,ROUTE,/rescue/map,FUTURE_ABSENT,SHELL,RESCUE,AUTH_REQUIRED,PAWMATE_RESCUE_BROWSE_ENABLED=false,FEATURE_UNAVAILABLE_WHEN_OFF,RESTORE_BRANCH,Rescue map is fail-closed before Day 39 and uses only approximate public location when enabled,PLANNED,docs/design/pawmate-v031-platform-ui/contracts/RESCUE_FINAL_CONTRACT.md:69,rescue,No real map tile is used in deterministic golden tests
RT-027,ROUTE,/rescue/:caseId,FUTURE_ABSENT,ROOT,NONE,AUTH_REQUIRED,PAWMATE_RESCUE_BROWSE_ENABLED=false,FEATURE_UNAVAILABLE_WHEN_OFF,RESTORE_RESCUE_BRANCH,Case detail is fail-closed before Day 39 and handles a case deleted while open,PLANNED,docs/design/pawmate-v031-platform-ui/contracts/RESCUE_FINAL_CONTRACT.md:70,rescue,Canonical route; inventory /rescue/cases/:caseId is a historical design alias
RT-028,ROUTE,/rescue/:caseId/comment,FUTURE_ABSENT,ROOT,NONE,AUTH_REQUIRED,PAWMATE_RESCUE_CREATE_ENABLED=false,FEATURE_UNAVAILABLE_WHEN_OFF,RESTORE_RESCUE_BRANCH,Case comment is unavailable before Day 40 and requires canComment when enabled,PLANNED,docs/design/pawmate-v031-platform-ui/contracts/RESCUE_FINAL_CONTRACT.md:71,rescue,Canonical route
RT-029,ROUTE,/rescue/:caseId/status,FUTURE_ABSENT,ROOT,NONE,AUTH_REQUIRED,PAWMATE_RESCUE_CREATE_ENABLED=false,FEATURE_UNAVAILABLE_WHEN_OFF,RESTORE_RESCUE_BRANCH,Status update is unavailable before Day 40 and requires backend-enforced owner permission,PLANNED,docs/design/pawmate-v031-platform-ui/contracts/RESCUE_FINAL_CONTRACT.md:72,rescue,Canonical route
RT-030,ROUTE,/rescue/:caseId/discussion,FUTURE_ABSENT,ROOT,NONE,AUTH_REQUIRED,PAWMATE_RESCUE_CREATE_ENABLED=false,FEATURE_UNAVAILABLE_WHEN_OFF,RESTORE_RESCUE_BRANCH,Case discussion is unavailable before Day 40 and requires an authenticated enabled create contract,PLANNED,docs/design/pawmate-v031-platform-ui/contracts/RESCUE_FINAL_CONTRACT.md:73,rescue,Canonical route
RT-031,ROUTE,proposed:/adoption/pets/:id,FUTURE_ABSENT,UNRESOLVED,N/A,AUTH_REQUIRED,N/A,FAIL_CLOSED,NOT_DEFINED,Adoption profile remains unreachable until the Adoption route and API contract are approved,PLANNED,docs/design/pawmate-v031-platform-ui/SCREEN_INVENTORY.csv:P2-10,adoption,Design-only route proposal
RT-032,ROUTE,proposed:/adoption/requests/new,FUTURE_ABSENT,UNRESOLVED,N/A,AUTH_REQUIRED,N/A,FAIL_CLOSED,NOT_DEFINED,Adoption request form remains unreachable until the Adoption contract is approved,PLANNED,docs/design/pawmate-v031-platform-ui/SCREEN_INVENTORY.csv:P2-11,adoption,Design-only route proposal
RT-033,ROUTE,proposed:/adoption/requests/:id/chat,FUTURE_ABSENT,UNRESOLVED,N/A,AUTH_REQUIRED,N/A,FAIL_CLOSED,NOT_DEFINED,Shelter chat remains unreachable until the Adoption contract is approved,PLANNED,docs/design/pawmate-v031-platform-ui/SCREEN_INVENTORY.csv:P2-12,adoption,Design-only route proposal
RT-034,ROUTE,proposed:/adoption/requests,FUTURE_ABSENT,UNRESOLVED,N/A,AUTH_REQUIRED,N/A,FAIL_CLOSED,NOT_DEFINED,My adoption requests remains unreachable until the Adoption contract is approved,PLANNED,docs/design/pawmate-v031-platform-ui/SCREEN_INVENTORY.csv:ST-20,adoption,State-only route proposal
RT-035,ROUTE,proposed:/notifications/preferences,FUTURE_ABSENT,UNRESOLVED,N/A,AUTH_REQUIRED,N/A,FAIL_CLOSED,NOT_DEFINED,Notification preferences remains unreachable until its persistence contract is approved,PLANNED,docs/design/pawmate-v031-platform-ui/SCREEN_INVENTORY.csv:P2-14,notifications,Design-only route proposal
RT-036,ROUTE,modal:vet-review,LIVE_MODAL,OVERLAY,VET,AUTH_REQUIRED,N/A,NOT_A_DEEP_LINK,RESTORE_CALLER,Write Review opens as a modal over Vet Detail and refreshes the review summary after success,PLANNED,mobile/lib/features/vets/presentation/vet_detail_screen.dart:111,vets,Inventory surface is canonical for v0.31
RB-001,NAV_BEHAVIOR,N/A,TARGET_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,Unauthenticated access to every protected route redirects to login with a safely encoded returnTo,PLANNED,mobile/lib/app/router/app_router.dart:33,router,Auth redirect contract
RB-002,NAV_BEHAVIOR,N/A,TARGET_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,returnTo is allowlisted and cannot navigate to an external or malformed target,PLANNED,mobile/lib/app/router/app_router.dart:49,router,Applies to auth and full-screen routes
RB-003,NAV_BEHAVIOR,N/A,TARGET_ONLY,SHELL,N/A,AUTH_REQUIRED,N/A,N/A,N/A,Switching among five shell branches preserves each branch navigator scroll filter and selected state,PLANNED,docs/design/pawmate-v031-platform-ui/WAVE_CONTRACTS.md:W5,router,StatefulShellRoute indexedStack target
RB-004,NAV_BEHAVIOR,N/A,TARGET_ONLY,SHELL,N/A,AUTH_REQUIRED,N/A,N/A,N/A,Reselecting a branch while on a child pops only that branch to its root,PLANNED,docs/design/pawmate-v031-platform-ui/WAVE_CONTRACTS.md:W5,router,Bottom navigation contract
RB-005,NAV_BEHAVIOR,N/A,TARGET_ONLY,SHELL,N/A,AUTH_REQUIRED,N/A,N/A,N/A,Reselecting an already visible branch root scrolls its primary content to top,PLANNED,docs/design/pawmate-v031-platform-ui/WAVE_CONTRACTS.md:W5,router,Bottom navigation contract
RB-006,NAV_BEHAVIOR,N/A,TARGET_ONLY,SHELL,N/A,AUTH_REQUIRED,N/A,N/A,N/A,Android back on a shell root follows platform exit behavior without corrupting another branch stack,PLANNED,docs/design/pawmate-v031-platform-ui/WAVE_CONTRACTS.md:W5,router,Platform navigation contract
RB-007,NAV_BEHAVIOR,N/A,TARGET_ONLY,ROOT,N/A,AUTH_REQUIRED,N/A,N/A,N/A,iOS edge swipe dismisses pushed full-screen routes and restores the originating shell branch,PLANNED,docs/design/pawmate-v031-platform-ui/WAVE_CONTRACTS.md:W5,router,Platform navigation contract
RB-008,NAV_BEHAVIOR,N/A,TARGET_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,Unknown routes resolve to a safe in-app fallback and never expose a blank or crashing screen,PLANNED,docs/design/pawmate-v031-platform-ui/WAVE_CONTRACTS.md:W5,router,Error route contract
