cta_id,screen_id,source_requirement_id,label,cta_kind,current_enabled,current_handler,target_enabled,target_handler,target_route_or_action,feature_flag,fail_closed_behavior,test_status,owner,source_ref,notes,inventory_phase
CTA-P1-04-BACK-REGISTER,P1-04,N/A,Quay lại đăng ký,NAVIGATION,TRUE,route:/auth/register,TRUE,route:/auth/register,/auth/register,N/A,Return to registration without opening a protected route,PASS,auth,mobile/lib/features/auth/presentation/otp_screen.dart:425,Shown when OTP input context is missing,P1
CTA-P1-05-PET-DETAIL,P1-05,N/A,Hồ sơ thú cưng,NAVIGATION,CONDITIONAL,route:/pets/:id,CONDITIONAL,route:/pets/:id,/pets/:id,N/A,Ignore the tap when the item is no longer available,PASS,pets,mobile/lib/features/pets/presentation/pet_list_screen.dart:112,Dynamic pet id,P1
CTA-P1-05-ADD-PET,P1-05,P1-IM-009-NAV,Thêm thú cưng,PRIMARY,TRUE,callback:_openPetForm,TRUE,route:/pets/create,/pets/create,N/A,Keep the list visible if navigation cannot start,PASS,pets,mobile/lib/features/pets/presentation/pet_list_screen.dart:447,returnTo=/pets/list must be safe,P1
CTA-P1-05-NOTIFICATIONS,P1-05,P1-IM-020-NAV,Thông báo,NAVIGATION,TRUE,route:/notifications,TRUE,route:/notifications,/notifications,N/A,Keep pet list visible if notification navigation fails,PASS,pets,mobile/lib/features/pets/presentation/pet_list_screen.dart:1442,Profile branch assignment is handled by router,P1
CTA-P1-06-SAVE,P1-06,P1-IM-010-NAV,Lưu hồ sơ,PRIMARY,CONDITIONAL,callback:_submit,CONDITIONAL,callback:submitPetForm,action:save-pet,N/A,Remain on form and expose field upload or server errors,PASS,pets,mobile/lib/features/pets/presentation/create_pet_screen.dart:339,Success returns to allowlisted returnTo,P1
CTA-P1-06-BACK,P1-06,N/A,Quay lại,NAVIGATION,TRUE,callback:_handleBack,TRUE,callback:popOrSafeReturn,action:back,N/A,Use a safe fallback instead of leaving the app on an invalid stack,PASS,pets,mobile/lib/features/pets/presentation/create_pet_screen.dart:460,Preserves caller when possible,P1
CTA-P1-07-PROFILE,P1-07,N/A,Ảnh đại diện,NAVIGATION,TRUE,route:/profile,TRUE,callback:selectShellBranch(PROFILE),/profile,N/A,Keep HOME visible if branch selection fails,PASS,pets,mobile/lib/features/pets/presentation/pet_list_screen.dart:92,Header profile entry,P1
CTA-P1-07-NOTIFICATIONS,P1-07,P1-IM-020-NAV,Thông báo,NAVIGATION,TRUE,route:/notifications,TRUE,route:/notifications,/notifications,N/A,Keep HOME visible if navigation fails,PASS,pets,mobile/lib/features/pets/presentation/pet_list_screen.dart:262,Profile branch child,P1
CTA-P1-07-SEARCH,P1-07,N/A,Tìm thú cưng,NAVIGATION,TRUE,route:/pets/list,TRUE,route:/pets/list,/pets/list,N/A,Keep HOME visible if navigation fails,PASS,pets,mobile/lib/features/pets/presentation/pet_list_screen.dart:263,HOME child route,P1
CTA-P1-07-PET-DETAIL,P1-07,P1-IM-007-NAV,Thẻ thú cưng,NAVIGATION,CONDITIONAL,route:/pets/:id,CONDITIONAL,route:/pets/:id,/pets/:id,N/A,Ignore stale item taps and keep HOME stable,PASS,pets,mobile/lib/features/pets/presentation/pet_list_screen.dart:287,Dynamic pet id,P1
CTA-P1-07-ADD-PET,P1-07,P1-IM-008-NAV,Thêm thú cưng,PRIMARY,TRUE,callback:_openPetForm,TRUE,route:/pets/create,/pets/create,N/A,Keep HOME visible if navigation cannot start,PASS,pets,mobile/lib/features/pets/presentation/pet_list_screen.dart:447,returnTo=/pets,P1
CTA-P1-07-HEALTH,P1-07,P1-IM-017-NAV,Xem sức khỏe,NAVIGATION,TRUE,route:/health,TRUE,callback:selectShellBranch(HEALTH),/health,N/A,Keep HOME visible if branch selection fails,PASS,pets,mobile/lib/features/pets/presentation/pet_list_screen.dart:634,HEALTH branch root,P1
CTA-P1-07-REMINDER,P1-07,P1-IM-017-NAV,Đặt lịch nhắc,PRIMARY,TRUE,route:/health/reminders,TRUE,route:/health/reminders,/health/reminders,N/A,Keep HOME visible if navigation fails,PASS,pets,mobile/lib/features/pets/presentation/pet_list_screen.dart:635,HEALTH branch child,P1
CTA-P1-07-DISMISS-REMINDER,P1-07,N/A,Để sau,PRIMARY,TRUE,callback:dismissReminderForSession,TRUE,callback:dismissReminderForSession,action:dismiss-reminder,N/A,Dismiss only for the current session and never pretend to save a backend preference,PASS,pets,mobile/lib/features/pets/presentation/pet_list_screen.dart:131,Verified by pet_navigation_test.dart: Pet home defer CTA snoozes a real reminder by one hour plus error and stale-state coverage,P1
CTA-P1-07-RESCUE,P1-07,N/A,Cứu hộ,NAVIGATION,TRUE,route:/rescue,TRUE,callback:selectShellBranch(RESCUE),/rescue,PAWMATE_RESCUE_BROWSE_ENABLED=false,Open honest staged state and make zero Rescue API calls,PASS,pets,mobile/lib/features/pets/presentation/pet_list_screen.dart:638,RESCUE branch root,P1
CTA-P1-07-FIND-VET,P1-07,P1-IM-011-NAV,Tìm bác sĩ,PRIMARY,TRUE,route:/vets/map,TRUE,callback:selectShellBranch(VET),/vets/map,N/A,Keep HOME visible if branch selection fails,PASS,pets,mobile/lib/features/pets/presentation/pet_list_screen.dart:641,VET branch root,P1
CTA-P1-07-VET-DETAIL,P1-07,P1-IM-011-NAV,Phòng khám gần bạn,NAVIGATION,TRUE,route:/vets/pethome-q7,TRUE,route:/vets/:id,/vets/:id,N/A,Keep HOME visible if the clinic is unavailable,PASS,pets,mobile/lib/features/pets/presentation/pet_list_screen.dart:642,Runtime uses fixture id pethome-q7,P1
CTA-P1-07-ADOPTION,P1-07,N/A,Tìm nhà cho Golden,NAVIGATION,TRUE,route:/adoption,TRUE,route:/adoption,/adoption,N/A,Open honest unavailable placeholder and make zero Adoption API calls,PASS,pets,mobile/lib/features/pets/presentation/pet_list_screen.dart:643,Phase 2 entry remains fail-closed,P1
CTA-P1-08-NOTIFICATIONS,P1-08,P1-IM-020-NAV,Thông báo,NAVIGATION,TRUE,route:/notifications,TRUE,route:/notifications,/notifications,N/A,Keep VET visible if navigation fails,PASS,vets,mobile/lib/features/vets/presentation/vet_map_screen.dart:113,Profile branch child,P1
CTA-P1-08-SEARCH,P1-08,P1-IM-012-NAV,Tìm phòng khám,NAVIGATION,TRUE,route:/vets/list,TRUE,route:/vets/list,/vets/list,N/A,Preserve map filter state in the VET branch,PASS,vets,mobile/lib/features/vets/presentation/vet_map_screen.dart:124,VET child route,P1
CTA-P1-08-FILTER,P1-08,P1-IM-012-NAV,Bộ lọc,NAVIGATION,TRUE,route:/vets/list,TRUE,route:/vets/list,/vets/list,N/A,Preserve selected filters and map state,PASS,vets,mobile/lib/features/vets/presentation/vet_map_screen.dart:125,VET child route,P1
CTA-P1-08-VIEW-ALL,P1-08,P1-IM-012-NAV,Xem tất cả,NAVIGATION,TRUE,route:/vets/list,TRUE,route:/vets/list,/vets/list,N/A,Preserve the current search fingerprint,PASS,vets,mobile/lib/features/vets/presentation/vet_map_screen.dart:95,VET child route,P1
CTA-P1-08-VET-DETAIL,P1-08,P1-IM-012-NAV,Xem chi tiết,NAVIGATION,CONDITIONAL,route:/vets/:id,CONDITIONAL,route:/vets/:id,/vets/:id,N/A,Ignore stale marker selections and keep map state,PASS,vets,mobile/lib/features/vets/presentation/vet_map_screen.dart:96,Dynamic vet id,P1
CTA-P1-08-ENABLE-LOCATION,P1-08,N/A,Bật vị trí,PRIMARY,CONDITIONAL,command:requestLocationPermission,CONDITIONAL,command:requestLocationPermission,action:request-location,N/A,Continue with non-location fallback when permission is denied,PASS,vets,mobile/lib/features/vets/presentation/vet_map_screen.dart:423,Permission prompt is platform-owned,P1
CTA-P1-08-PREVIEW-CALL,P1-08,P1-IM-014-NAV,Gọi ngay,PRIMARY,CONDITIONAL,command:launchVetCall,CONDITIONAL,command:launchVetCall,native:tel,N/A,Disable when the selected clinic has no valid phone capability,PASS,vets,mobile/lib/features/vets/presentation/vet_map_screen.dart:935,Preview-sheet primary action,P1
CTA-P1-08-PREVIEW-DIRECTIONS,P1-08,P1-IM-015-NAV,Chỉ đường,PRIMARY,CONDITIONAL,command:launchVetDirections,CONDITIONAL,command:launchVetDirections,native:maps,N/A,Show map unavailable fallback and preserve the preview selection,PASS,vets,mobile/lib/features/vets/presentation/vet_map_screen.dart:946,Preview-sheet primary action,P1
CTA-P1-09-BACK,P1-09,N/A,Quay lại Home,NAVIGATION,TRUE,route:/pets,TRUE,callback:popVetBranchOrHome,/pets,N/A,Return safely without discarding another branch stack,PASS,vets,mobile/lib/features/vets/presentation/vet_list_screen.dart:253,Target reselect behavior may replace direct go,P1
CTA-P1-09-MAP,P1-09,P1-IM-012-NAV,Bản đồ,NAVIGATION,TRUE,route:/vets/map,TRUE,callback:popVetBranchToRoot,/vets/map,N/A,Restore the existing map filter and sheet state,PASS,vets,mobile/lib/features/vets/presentation/vet_list_screen.dart:476,VET branch root,P1
CTA-P1-09-VET-DETAIL,P1-09,P1-IM-013-NAV,Thẻ phòng khám,NAVIGATION,CONDITIONAL,route:/vets/:id,CONDITIONAL,route:/vets/:id,/vets/:id,N/A,Ignore stale list item taps and preserve list scroll,PASS,vets,mobile/lib/features/vets/presentation/vet_list_screen.dart:417,Dynamic vet id,P1
CTA-P1-10-BACK,P1-10,N/A,Quay lại,NAVIGATION,TRUE,callback:returnPath,TRUE,callback:popOrSafeVetReturn,action:back,N/A,Use an allowlisted fallback and preserve caller state,PASS,vets,mobile/lib/features/vets/presentation/vet_detail_screen.dart:72,Current default is /vets/list,P1
CTA-P1-10-SHARE,P1-10,N/A,Chia sẻ,NAVIGATION,CONDITIONAL,callback:onShare,CONDITIONAL,command:shareVet,external:share,N/A,Show an accessible error and keep detail state if sharing is unavailable,PASS,vets,mobile/lib/features/vets/presentation/vet_detail_screen.dart:647,Platform action,P1
CTA-P1-10-CALL,P1-10,P1-IM-014-NAV,Gọi ngay,PRIMARY,CONDITIONAL,command:launchVetCall,CONDITIONAL,command:launchVetCall,native:tel,N/A,Disable when no valid phone capability exists,PASS,vets,mobile/lib/features/vets/presentation/vet_detail_screen.dart:974,External capability checked,P1
CTA-P1-10-DIRECTIONS,P1-10,P1-IM-015-NAV,Chỉ đường,PRIMARY,CONDITIONAL,command:launchVetDirections,CONDITIONAL,command:launchVetDirections,native:maps,N/A,Show map unavailable fallback and keep detail state,PASS,vets,mobile/lib/features/vets/presentation/vet_detail_screen.dart:980,External capability checked,P1
CTA-P1-10-REVIEW,P1-10,P1-IM-016-NAV,Viết đánh giá,PRIMARY,TRUE,callback:_openWriteReview,TRUE,overlay:openVetReview,modal:vet-review,N/A,Keep detail visible if the modal cannot open,PASS,vets,mobile/lib/features/vets/presentation/vet_detail_screen.dart:111,Authenticated modal surface,P1
CTA-P1-11-SUBMIT,P1-11,P1-IM-016-NAV,Gửi đánh giá,PRIMARY,CONDITIONAL,callback:_submit,CONDITIONAL,callback:submitVetReview,action:submit-vet-review,N/A,Keep the modal and expose field upload or server errors,PASS,vets,mobile/lib/features/vets/presentation/vet_detail_screen.dart:439,Refresh detail summary only after success,P1
CTA-P1-11-CLOSE,P1-11,N/A,Đóng,NAVIGATION,CONDITIONAL,callback:onBack,CONDITIONAL,callback:closeVetReview,action:close-modal,N/A,Preserve draft or request discard confirmation when content changed,PASS,vets,mobile/lib/features/vets/presentation/vet_detail_screen.dart:638,Modal back behavior,P1
CTA-P1-12-ADD-EVENT,P1-12,P1-IM-018-NAV,Thêm sự kiện,PRIMARY,CONDITIONAL,callback:_openAddEventScreen,CONDITIONAL,route:/health/events/new,/health/events/new,N/A,Disable without a selected pet and keep timeline visible,PASS,health,mobile/lib/features/health/presentation/health_timeline_screen.dart:72,petId query parameter required when selected,P1
CTA-P1-12-REMINDERS,P1-12,P1-IM-017-NAV,Lịch nhắc,NAVIGATION,TRUE,route:/health/reminders,TRUE,route:/health/reminders,/health/reminders,N/A,Preserve timeline selected pet and scroll state,PASS,health,mobile/lib/features/health/presentation/health_timeline_screen.dart:107,HEALTH branch child,P1
CTA-P1-12-NOTIFICATIONS,P1-12,P1-IM-020-NAV,Thông báo,NAVIGATION,TRUE,route:/notifications,TRUE,route:/notifications,/notifications,N/A,Preserve HEALTH branch state while PROFILE child opens,PASS,health,mobile/lib/features/health/presentation/health_timeline_screen.dart:98,Profile branch child,P1
CTA-P1-12-SETTINGS,P1-12,N/A,Cài đặt sức khỏe,NAVIGATION,TRUE,callback:showMvpSnackBar,TRUE,callback:showHealthSettingsUnavailable,unavailable:health-settings,N/A,Show honest unavailable message and persist nothing,PASS,health,mobile/lib/features/health/presentation/health_timeline_screen.dart:93,No settings route exists,P1
CTA-P1-13-SAVE,P1-13,P1-IM-019-NAV,Lưu sự kiện,PRIMARY,CONDITIONAL,callback:_submit,CONDITIONAL,callback:submitHealthEvent,action:save-health-event,N/A,Remain on form and expose accessible validation or server errors,PASS,health,mobile/lib/features/health/presentation/add_health_event_screen.dart:207,Success returns to /health,P1
CTA-P1-13-ADD-PET,P1-13,N/A,Thêm thú cưng,NAVIGATION,TRUE,route:/pets/create,TRUE,route:/pets/create,/pets/create,N/A,Keep health draft and use a safe returnTo,PASS,health,mobile/lib/features/health/presentation/add_health_event_screen.dart:82,Shown when no pet exists,P1
CTA-P1-13-BACK,P1-13,N/A,Quay lại,NAVIGATION,TRUE,route:/health,TRUE,callback:popOrHealthRoot,/health,N/A,Preserve or explicitly discard an edited draft,PASS,health,mobile/lib/features/health/presentation/add_health_event_screen.dart:68,Root navigator route returns to HEALTH,P1
CTA-P1-14-ADD-REMINDER,P1-14,N/A,Thêm lịch,PRIMARY,CONDITIONAL,callback:_openCreateSheet,CONDITIONAL,overlay:openReminderEditor,action:create-reminder,N/A,Disable without selected pet and preserve calendar state,PASS,reminders,mobile/lib/features/reminders/presentation/reminder_calendar_screen.dart:116,Modal editor,P1
CTA-P1-14-BACK,P1-14,N/A,Quay lại,NAVIGATION,TRUE,route:/health,TRUE,callback:popHealthBranchToRoot,/health,N/A,Restore timeline state in HEALTH branch,PASS,reminders,mobile/lib/features/reminders/presentation/reminder_calendar_screen.dart:138,HEALTH branch root,P1
CTA-P1-14-NOTIFICATIONS,P1-14,P1-IM-020-NAV,Bật thông báo,NAVIGATION,TRUE,route:/notifications,TRUE,route:/notifications,/notifications,N/A,Preserve calendar state while PROFILE child opens,PASS,reminders,mobile/lib/features/reminders/presentation/reminder_calendar_screen.dart:142,Current label enables via notification center,P1
CTA-P1-14-FILTER,P1-14,N/A,Bộ lọc,NAVIGATION,TRUE,callback:_openFilterSheet,TRUE,overlay:openReminderFilter,action:filter-reminders,N/A,Keep existing filter if the sheet is dismissed,PASS,reminders,mobile/lib/features/reminders/presentation/reminder_calendar_screen.dart:158,Local modal action,P1
CTA-P1-14-PREVIOUS-MONTH,P1-14,N/A,Tháng trước,NAVIGATION,TRUE,callback:showPreviousMonth,TRUE,callback:showPreviousMonth,action:calendar-previous-month,N/A,Keep filter selected pet and focus context while changing month,PASS,reminders,mobile/lib/features/reminders/presentation/reminder_calendar_screen.dart:164,Calendar-local navigation,P1
CTA-P1-14-NEXT-MONTH,P1-14,N/A,Tháng sau,NAVIGATION,TRUE,callback:showNextMonth,TRUE,callback:showNextMonth,action:calendar-next-month,N/A,Keep filter selected pet and focus context while changing month,PASS,reminders,mobile/lib/features/reminders/presentation/reminder_calendar_screen.dart:170,Calendar-local navigation,P1
CTA-P1-14-SAVE-REMINDER,P1-14,N/A,Lưu lịch nhắc,PRIMARY,CONDITIONAL,callback:_createReminder,CONDITIONAL,callback:createReminder,action:save-reminder,N/A,Keep the editor open and expose validation or server errors,PASS,reminders,mobile/lib/features/reminders/presentation/reminder_calendar_screen.dart:498,Primary action inside reminder editor,P1
CTA-P1-15-BACK,P1-15,N/A,Quay lại,NAVIGATION,TRUE,callback:_goBack,TRUE,callback:popOrSafeNotificationReturn,action:back,N/A,Validate returnTo and default safely to /profile,PASS,notifications,mobile/lib/features/notifications/presentation/notification_center_screen.dart:56,May be entered from multiple branches,P1
CTA-P1-15-SETTINGS,P1-15,N/A,Cài đặt,NAVIGATION,TRUE,route:/profile,TRUE,route:/profile,/profile,N/A,Open profile until notification preferences gains an approved runtime contract,PASS,notifications,mobile/lib/features/notifications/presentation/notification_center_screen.dart:57,Does not route to design-only preferences,P1
CTA-P1-15-ITEM,P1-15,P1-IM-021-NAV,Thông báo,NAVIGATION,CONDITIONAL,callback:_openNotification,CONDITIONAL,callback:openAllowlistedNotificationTarget,registry:notification-target,N/A,Reject unknown targets and keep the notification visible,PASS,notifications,mobile/lib/features/notifications/presentation/notification_center_screen.dart:162,Dynamic registry target,P1
CTA-P1-15-MARK-ALL,P1-15,N/A,Đánh dấu đã đọc,PRIMARY,CONDITIONAL,callback:_markAllRead,CONDITIONAL,callback:markAllNotificationsRead,action:mark-all-read,N/A,Keep unread state and show retry if mutation fails,PASS,notifications,mobile/lib/features/notifications/presentation/notification_center_screen.dart:520,Disabled while busy,P1
CTA-P1-15-EMPTY-PROFILE,P1-15,N/A,Về hồ sơ,NAVIGATION,TRUE,route:/profile,TRUE,route:/profile,/profile,N/A,Keep empty state visible if navigation fails,PASS,notifications,mobile/lib/features/notifications/presentation/notification_center_screen.dart:101,Empty-state route,P1
CTA-P1-15-EMPTY-MANAGE,P1-15,N/A,Quản lý thông báo,NAVIGATION,TRUE,route:/profile,TRUE,route:/profile,/profile,N/A,Open Profile until notification preferences has an approved runtime contract,PASS,notifications,mobile/lib/features/notifications/presentation/notification_center_screen.dart:100,Empty-state management route,P1
CTA-P1-16-SETTINGS,P1-16,N/A,Cài đặt,NAVIGATION,TRUE,route:/profile/controls,TRUE,route:/profile/controls,/profile/controls,N/A,Open honest placeholder and persist nothing,PASS,profile,mobile/lib/features/profile/presentation/profile_screen.dart:38,Phase 2 fail-closed placeholder,P1
CTA-P1-16-NOTIFICATIONS,P1-16,P1-IM-020-NAV,Thông báo,NAVIGATION,TRUE,route:/notifications,TRUE,route:/notifications,/notifications,N/A,Preserve profile branch state,PASS,profile,mobile/lib/features/profile/presentation/profile_screen.dart:39,PROFILE child route,P1
CTA-P1-16-EDIT,P1-16,N/A,Chỉnh sửa hồ sơ,NAVIGATION,TRUE,route:/profile/controls,TRUE,route:/profile/controls,/profile/controls,N/A,Open honest placeholder and persist nothing,PASS,profile,mobile/lib/features/profile/presentation/profile_screen.dart:53,Phase 2 fail-closed placeholder,P1
CTA-P1-16-PET-DETAIL,P1-16,N/A,Hồ sơ thú cưng,NAVIGATION,CONDITIONAL,route:/pets/:id,CONDITIONAL,route:/pets/:id,/pets/:id,N/A,Ignore stale pet taps and preserve profile state,PASS,profile,mobile/lib/features/profile/presentation/profile_screen.dart:89,Dynamic pet id,P1
CTA-P1-16-PRIVACY,P1-16,N/A,Quyền riêng tư,NAVIGATION,TRUE,route:/profile/privacy,TRUE,route:/profile/privacy,/profile/privacy,N/A,Open honest placeholder and persist nothing,PASS,profile,mobile/lib/features/profile/presentation/profile_screen.dart:112,Phase 2 fail-closed placeholder,P1
CTA-P1-16-REMINDERS,P1-16,N/A,Lịch nhắc,NAVIGATION,TRUE,route:/health/reminders,TRUE,route:/health/reminders,/health/reminders,N/A,Preserve PROFILE branch while HEALTH child opens,PASS,profile,mobile/lib/features/profile/presentation/profile_screen.dart:118,Cross-branch navigation,P1
CTA-P1-16-VETS,P1-16,N/A,Phòng khám,NAVIGATION,TRUE,route:/vets/list,TRUE,route:/vets/list,/vets/list,N/A,Preserve PROFILE branch while VET child opens,PASS,profile,mobile/lib/features/profile/presentation/profile_screen.dart:124,Cross-branch navigation,P1
CTA-P1-16-LOGOUT,P1-16,N/A,Đăng xuất,PRIMARY,CONDITIONAL,callback:_logout,CONDITIONAL,callback:logoutAndClearBranches,/auth/login,N/A,Remain authenticated and show an error if logout persistence fails,PASS,profile,mobile/lib/features/profile/presentation/profile_screen.dart:131,All protected branch stacks must be cleared after success,P1
CTA-P2-01-NOTIFICATIONS,P2-01,P1-IM-020-NAV,Thông báo,NAVIGATION,TRUE,route:/notifications,TRUE,route:/notifications,/notifications,N/A,Preserve staged Rescue branch state,PASS,rescue,mobile/lib/features/rescue/presentation/rescue_home_screen.dart:63,Current runtime navigation remains valid,P2
CTA-P2-01-POST-ALERT,P2-01,P2-IM-002-NAV,Đăng tin,PRIMARY,FALSE,disabled:featureUnavailable,FALSE,disabled:featureUnavailable,/rescue/create,PAWMATE_RESCUE_CREATE_ENABLED=false,Render disabled or hidden with an honest unavailable explanation and make zero write API calls,PASS,rescue,mobile/lib/features/rescue/presentation/rescue_home_screen.dart:10,CTA is intentionally absent while the flag is off; rescue_home_screen_test.dart and the staged Rescue golden verify fail-closed behavior,P2
CTA-P2-01-BROWSE-MAP,P2-01,N/A,Xem bản đồ,NAVIGATION,FALSE,disabled:notImplemented,FALSE,disabled:featureUnavailable,/rescue/map,PAWMATE_RESCUE_BROWSE_ENABLED=false,Known disabled deep link lands on FeatureUnavailableScreen after auth and makes zero Rescue API calls,PASS,rescue,docs/design/pawmate-v031-platform-ui/contracts/RESCUE_FINAL_CONTRACT.md:56,Enable only at Day 39 gate,P2
CTA-P2-01-OPEN-CASE,P2-01,N/A,Xem chi tiết,NAVIGATION,FALSE,disabled:notImplemented,FALSE,disabled:featureUnavailable,/rescue/:caseId,PAWMATE_RESCUE_BROWSE_ENABLED=false,Known disabled deep link lands on FeatureUnavailableScreen after auth and makes zero Rescue API calls,PASS,rescue,docs/design/pawmate-v031-platform-ui/contracts/RESCUE_FINAL_CONTRACT.md:57,Enable only at Day 39 gate,P2
CTA-P2-02-CREATE,P2-02,P2-IM-002-NAV,Tiếp tục tạo tin,PRIMARY,FALSE,disabled:routeAbsent,FALSE,disabled:featureUnavailable,/rescue/create/details,PAWMATE_RESCUE_CREATE_ENABLED=false,Preserve no production draft and make zero write API calls before Day 40,PASS,rescue,docs/design/pawmate-v031-platform-ui/contracts/RESCUE_FINAL_CONTRACT.md:67,Design-only denominator,P2
