state_id,screen_id,state_name,source_node_id,module_scope,runtime_route_or_surface,phase_scope,trigger,expected_ui,primary_action,secondary_action,data_policy,permission_policy,feature_flag,test_status,owner,notes
ST-12,ST-12,Save Update Failure,442:2015,cross-module,N/A,P1_AND_P2,An authorized create or update fails,Edited data remains available and an accessible error explains the next action,Retry,Cancel,Keep only the minimum safe draft allowed by the module,Do not convert a permission failure into apparent success,N/A,PLANNED,cross-module,No optimistic success without confirmation
ST-13,ST-13,Lost Alert Submit Failure,442:2054,rescue,/rescue/create/details,P2,Publish fails after Day 40 create is enabled,Draft remains editable and failure distinguishes validation conflict and transport causes,Retry publish,Save draft,Private location and contact never enter evidence,Owner authorization and backend version checks are mandatory,PAWMATE_RESCUE_CREATE_ENABLED=true,PLANNED,rescue,Canonical route supersedes inventory historical draftId alias
ST-14,ST-14,Adoption Request Submitted,442:2092,adoption,proposed:/adoption/requests/new,P2,Future Adoption request succeeds,Design reference shows a clear submitted state without implying current runtime support,View requests,Return to adoption,Use test-only identity and animal data,Backend must enforce requester authorization,N/A,PLANNED,adoption,DESIGN ONLY until Adoption contract is approved
ST-15,ST-15,Location Permission Needed,442:2117,cross-module,/vets/map | /rescue/map,P1_AND_P2,Location is denied restricted or not determined,Explain benefit and provide a non-location fallback before invoking system settings,Allow location,Continue without location,Never display exact Rescue origin coordinates,Permission denial must not bypass route authorization,N/A; PAWMATE_RESCUE_BROWSE_ENABLED=true for Rescue,PLANNED,cross-module,Test denied permanently-denied and approximate-location paths
ST-16,ST-16,Media Upload Failure,442:2150,cross-module,N/A,P1_AND_P2,Selected media fails validation upload or processing,Failed item remains identifiable with retry replace and remove actions,Retry upload,Replace media,Do not log storage keys hashes or private EXIF,Only the authorized owner may attach private media,N/A; PAWMATE_RESCUE_CREATE_ENABLED=true for Rescue,PLANNED,cross-module,Fixtures must never be bundled into production
ST-17,ST-17,OTP Expired,442:2194,auth,/auth/otp,P1,Verification expiry time has passed,Expired state disables verify and announces when resend is available,Resend code,Change email,Do not expose OTP value in evidence,Guest verification rate limits remain enforced,N/A,PLANNED,auth,Clock and timezone are frozen in tests
ST-18,ST-18,Comment Send Failure,442:2223,rescue,/rescue/:caseId/comment,P2,Authenticated comment mutation fails after Day 40,Composer retains safe text and exposes retry without duplicate submission,Retry send,Discard,Do not persist private case fields or raw error payload,Require canComment and backend authorization,PAWMATE_RESCUE_CREATE_ENABLED=true,PLANNED,rescue,Canonical route supersedes inventory /rescue/cases alias
ST-19,ST-19,Adoption Request Failure,442:2269,adoption,proposed:/adoption/requests/new,P2,Future Adoption request fails,Design reference preserves entered safe data and exposes retry,Retry,Cancel,Use test-only personal data in evidence,Backend authorization must be defined before runtime,N/A,PLANNED,adoption,DESIGN ONLY until Adoption contract is approved
ST-20,ST-20,Empty My Adoption Requests,442:2302,adoption,proposed:/adoption/requests,P2,Future request list succeeds with zero items,Design reference explains the empty list and offers a route back to adoption,Explore adoption,None,No fixture requests appear in runtime,Authenticated requester only,N/A,PLANNED,adoption,DESIGN ONLY until Adoption contract is approved
ST-21,ST-21,Chat Send Failure,442:2334,adoption,proposed:/adoption/requests/:id/chat,P2,Future shelter chat send fails,Composer retains safe text and exposes retry without duplicate messages,Retry send,Discard,Use test-only conversations and redact personal data,Participant authorization must be backend-enforced,N/A,PLANNED,adoption,DESIGN ONLY until chat contract is approved
ST-22,ST-22,Status Update Success,442:2356,rescue,/rescue/:caseId/status,P2,Authorized owner status mutation succeeds after Day 40,Updated lifecycle is announced and reflected in list detail and discussion,Continue,View case,Refresh from authoritative versioned result,Require canUpdateStatus and backend owner enforcement,PAWMATE_RESCUE_CREATE_ENABLED=true,PLANNED,rescue,Only missing to found transition is currently authorized
ST-23,ST-23,Map Service Unavailable,442:2393,cross-module,/vets/map | /rescue/map,P1_AND_P2,Map renderer tile service or platform intent is unavailable,Deterministic fallback list or area summary replaces the map without blocking core content,Open list,Retry map,Do not use live map tiles in golden tests,Location remains optional and Rescue coordinates stay approximate,N/A; PAWMATE_RESCUE_BROWSE_ENABLED=true for Rescue,PLANNED,cross-module,No blank map canvas
ST-24,ST-24,Empty Notifications,442:2455,notifications,/notifications,P1,Notification query succeeds with zero items,Empty state explains there is nothing new and offers safe profile or management navigation,Open profile,Refresh,No fixture notification appears in runtime,Authenticated account owner only,N/A,PLANNED,notifications,Quiet-hours and filter controls remain understandable
